cuisine,count
seafood,84
sandwiches,70
breakfast brunch,70
traditional american,62
chinese,108
burgers,84
new american,58
hotdogs,91
bars,44
mexican,41
italian,54
coffee,48
pizza,65
chicken wings,41
noodles,30
asian fusion,39
bbq,29
salad,30
delis,25
diners,24
cantonese,40
cafes,18
desserts,20
dimsum,37
korean,17
japanese,23
bubble tea,20
ice cream,18
bakeries,12
vegan,14
sushi,18
juicebars,16
hotpot,26
lounges,16
indian pakistan,14
convenience,12
taiwanese,14
vietnamese,7
karaoke,18
szechuan,14
foodtrucks,10
mediterranean,9
street vendors,12
steak,12
grocery,14
thai,10
caribbean,10
cajun,8
pubs,12
vegetarian,8
mongolian,12
latin,8
comfort food,6
foodstands,4
beergardens,6
hkcafe,6
mideastern,6
gelato,6
british,6
cuban,6
shavedice,6
tapas small plates,5
creperies,6
meats,6
buffets,4
international grocery,6
polish,6
whiskey bars,6
tacos,2
spanish,3
shanghainese,2
senegalese,2
turkish,2
raw food,2
panasian,2
bagels,2
