category,bigram,count
bubbletea,milk tea,23
bubbletea,noodle soup,11
bubbletea,rice box,9
bubbletea,braised pork,7
bubbletea,over rice,7
bubbletea,black tea,6
bubbletea,egg waffle,5
bubbletea,green tea,5
bubbletea,pork over,5
bubbletea,spicy beef,5
bubbletea,winter melon,5
bubbletea,beef noodle,4
bubbletea,oolong tea,4
bubbletea,tea mousse,4
bubbletea,bowl of,3
bubbletea,green milk,3
bubbletea,ground pork,3
bubbletea,noodle with,3
bubbletea,passion fruit,3
bubbletea,peach oolong,3
bubbletea,shredded chicken,3
bubbletea,square q,3
bubbletea,stir fried,3
bubbletea,tea latte,3
bubbletea,tea with,3
bubbletea,tendon noodle,3
bubbletea,aiyu jelly,2
bubbletea,and pepper,2
bubbletea,and pork,2
bubbletea,and tendon,2
bubbletea,basil fried,2
bubbletea,bbq pork,2
bubbletea,bean curd,2
bubbletea,beef and,2
bubbletea,belly rice,2
bubbletea,black forest,2
bubbletea,braised chicken,2
bubbletea,chicken leg,2
bubbletea,chicken over,2
bubbletea,chicken with,2
bubbletea,chili sauce,2
bubbletea,chocolate milk,2
bubbletea,cold noodle,2
bubbletea,crispy bbq,2
bubbletea,crispy spiced,2
bubbletea,ear with,2
bubbletea,fried rice,2
bubbletea,grass jelly,2
bubbletea,homemade potstickers,2
bubbletea,in thick,2
seafood,fried rice,91
seafood,and sour,35
seafood,and pepper,34
seafood,fish fillet,34
seafood,beef with,33
seafood,chicken with,31
seafood,salt and,31
seafood,pork with,29
seafood,sweet and,26
seafood,noodle soup,24
seafood,bbq pork,21
seafood,shrimp with,21
seafood,with garlic,21
seafood,soup dinner,20
seafood,garlic sauce,19
seafood,sauce dinner,19
seafood,brown sauce,18
seafood,egg foo,18
seafood,fillet with,18
seafood,foo young,15
seafood,ginger and,15
seafood,pan fried,15
seafood,pork chop,15
seafood,shredded chicken,14
seafood,with black,14
seafood,fried noodles,13
seafood,stir fried,13
seafood,with brown,13
seafood,black bean,12
seafood,black pepper,12
seafood,chop suey,12
seafood,hong kong,12
seafood,hot and,12
seafood,with beef,12
seafood,bitter melon,11
seafood,rice dinner,11
seafood,tofu with,11
seafood,xo sauce,11
seafood,chicken fried,10
seafood,chow mein,10
seafood,corn soup,10
seafood,crab rangoon,10
seafood,dungeness crab,10
seafood,fried shrimp,10
seafood,kong style,10
seafood,pepper sauce,10
seafood,sour pork,10
seafood,with tofu,10
seafood,rice with,9
seafood,salted fish,9
cantonese,fried rice,75
cantonese,and pepper,28
cantonese,salt and,26
cantonese,bbq pork,24
cantonese,and sour,23
cantonese,chow mein,23
cantonese,egg foo,21
cantonese,bean curd,19
cantonese,beef with,19
cantonese,chop suey,18
cantonese,foo young,18
cantonese,shrimp with,17
cantonese,sweet and,17
cantonese,fish fillet,15
cantonese,with garlic,15
cantonese,chicken with,14
cantonese,stir fried,14
cantonese,xo sauce,13
cantonese,chinese broccoli,12
cantonese,garlic sauce,12
cantonese,pan fried,12
cantonese,with black,12
cantonese,black bean,11
cantonese,house special,11
cantonese,chicken fried,10
cantonese,family dinner,10
cantonese,ginger and,10
cantonese,hong kong,10
cantonese,kung pao,10
cantonese,pork chop,10
cantonese,black pepper,9
cantonese,dungeness crab,9
cantonese,noodle soup,9
cantonese,bean sauce,8
cantonese,beef chow,8
cantonese,corn soup,8
cantonese,crab rangoon,8
cantonese,curd with,8
cantonese,egg yolk,8
cantonese,fried noodles,8
cantonese,hot and,8
cantonese,in hot,8
cantonese,moo shu,8
cantonese,oyster sauce,8
cantonese,pepper sauce,8
cantonese,pork belly,8
cantonese,rice noodle,8
cantonese,shrimp and,8
cantonese,sour pork,8
cantonese,with spicy,8
chinese,fried rice,386
chinese,beef with,215
chinese,noodle soup,185
chinese,chicken with,177
chinese,fish fillet,163
chinese,shrimp with,152
chinese,stir fried,143
chinese,and sour,142
chinese,and pepper,109
chinese,chow mein,106
chinese,salt and,101
chinese,sweet and,97
chinese,foo young,96
chinese,egg foo,94
chinese,pork with,93
chinese,bbq pork,92
chinese,black bean,87
chinese,pork chop,87
chinese,bean sauce,77
chinese,garlic sauce,75
chinese,beef and,73
chinese,fillet with,73
chinese,rice noodle,70
chinese,over rice,69
chinese,kung pao,68
chinese,with garlic,67
chinese,hot and,58
chinese,in black,58
chinese,with black,58
chinese,black pepper,57
chinese,shredded pork,57
chinese,lo mein,55
chinese,chop suey,54
chinese,and pork,53
chinese,deep fried,53
chinese,on rice,53
chinese,shrimp and,53
chinese,with pork,52
chinese,xo sauce,52
chinese,pork and,51
chinese,with chinese,50
chinese,jumbo shrimp,48
chinese,with broccoli,48
chinese,mixed vegetables,47
chinese,string beans,47
chinese,bitter melon,46
chinese,party tray,46
chinese,steamed rice,45
chinese,tofu with,45
chinese,fish with,42
bbq,pork and,12
bbq,beef with,8
bbq,and pork,6
bbq,beef and,6
bbq,lamb and,6
bbq,and leek,5
bbq,chicken wings,5
bbq,oyster sauce,5
bbq,pork belly,5
bbq,short rib,5
bbq,with vegetables,5
bbq,and coriander,4
bbq,and egg,4
bbq,buckwheat noodles,4
bbq,hot and,4
bbq,lo mein,4
bbq,shrimp and,4
bbq,stone bowl,4
bbq,and green,3
bbq,and hot,3
bbq,and onion,3
bbq,and spicy,3
bbq,b.b.q pork,3
bbq,beef short,3
bbq,black tea,3
bbq,boneless short,3
bbq,charcoal broiled,3
bbq,chicken and,3
bbq,cut pork,3
bbq,egg roll,3
bbq,fried dumplings,3
bbq,fried rice,3
bbq,hot pepper,3
bbq,in stone,3
bbq,mixed vegetables,3
bbq,paste in,3
bbq,pepper paste,3
bbq,pork collar,3
bbq,pulled pork,3
bbq,seafood pancake,3
bbq,shrimp kow,3
bbq,special cut,3
bbq,stew with,3
bbq,thinly sliced,3
bbq,vegetables with,3
bbq,with oyster,3
bbq,with rice,3
bbq,wonton noodle,3
bbq,and cabbage,2
bbq,and celery,2
noodles,over rice,53
noodles,fresh fruit,46
noodles,milk tea,37
noodles,fruit freeze,33
noodles,fried rice,31
noodles,noodle soup,29
noodles,flavored tea,25
noodles,stir fried,16
noodles,and lychee,14
noodles,green milk,14
noodles,jelly freeze,14
noodles,tapioca and,14
noodles,xo sauce,14
noodles,lychee jelly,13
noodles,black milk,12
noodles,green flavored,12
noodles,beef &,11
noodles,black bean,11
noodles,black flavored,11
noodles,freeze with,11
noodles,fruit topping,11
noodles,mini pearl,11
noodles,pearl freeze,11
noodles,with fresh,11
noodles,banh mi,10
noodles,beef brisket,9
noodles,bowl rice,9
noodles,fish fillet,9
noodles,stone bowl,9
noodles,bean sauce,8
noodles,chicken &,8
noodles,chicken with,8
noodles,coconut green,8
noodles,grilled lemongrass,8
noodles,in black,8
noodles,kung pao,8
noodles,lemon grass,8
noodles,beef with,7
noodles,bitter melon,7
noodles,string beans,7
noodles,tapioca freeze,7
noodles,with xo,7
noodles,and egg,6
noodles,bbq pork,6
noodles,chow mein,6
noodles,egg roll,6
noodles,green tapioca,6
noodles,pork and,6
noodles,pork chops,6
noodles,red bean,6
szechuan,stir fried,30
szechuan,house special,26
szechuan,pork with,26
szechuan,fish fillet,25
szechuan,sour pickle,24
szechuan,fried rice,22
szechuan,and sour,21
szechuan,beef with,21
szechuan,bean curd,18
szechuan,beef tenderloin,18
szechuan,sole fish,18
szechuan,shredded pork,17
szechuan,with mixed,17
szechuan,with sour,17
szechuan,chicken with,16
szechuan,home style,16
szechuan,mixed vegetables,16
szechuan,chow mein,15
szechuan,fish with,15
szechuan,garlic sauce,15
szechuan,and pepper,14
szechuan,chef's special,14
szechuan,salt and,14
szechuan,with chili,14
szechuan,with green,14
szechuan,green pepper,13
szechuan,kung pao,13
szechuan,pork intestine,13
szechuan,whole fish,13
szechuan,chili pepper,12
szechuan,shrimp with,12
szechuan,with garlic,12
szechuan,chili sauce,11
szechuan,curd with,11
szechuan,dry chili,11
szechuan,dry pot,11
szechuan,griddle cooked,11
szechuan,in hot,11
szechuan,sweet and,11
szechuan,with tofu,11
szechuan,family dinner,10
szechuan,hot and,10
szechuan,pepper sauce,10
szechuan,sliced pork,10
szechuan,szechuan style,10
szechuan,and pork,9
szechuan,bean sauce,9
