category,word,count
bubbletea,Tea,392
bubbletea,Milk,192
bubbletea,Rice,160
bubbletea,Pork,152
bubbletea,Noodle,120
bubbletea,Braised,104
bubbletea,Chicken,96
bubbletea,Soup,96
bubbletea,Box,80
bubbletea,with,72
bubbletea,Beef,64
bubbletea,Black,64
bubbletea,Fried,64
bubbletea,Green,64
bubbletea,Mousse,64
bubbletea,Egg,56
bubbletea,Matcha,56
bubbletea,Oolong,56
bubbletea,over,56
bubbletea,Crispy,48
seafood,Beef,424
seafood,Chicken,424
seafood,Shrimp,392
seafood,Fried,336
seafood,Pork,336
seafood,Rice,328
seafood,Sauce,320
seafood,with,252
seafood,and,225
seafood,Pepper,192
seafood,Egg,184
seafood,Stir-Fried,176
seafood,Fish,168
seafood,Soup,160
seafood,Crab,152
seafood,Vegetable,144
seafood,BBQ,128
seafood,Live,128
seafood,Steamed,128
seafood,Tofu,128
cantonese,Beef,424
cantonese,Chicken,384
cantonese,Fried,336
cantonese,Pork,336
cantonese,Rice,320
cantonese,Shrimp,312
cantonese,Sauce,304
cantonese,with,252
cantonese,and,225
cantonese,Pepper,192
cantonese,Egg,184
cantonese,Stir-Fried,176
cantonese,Soup,160
cantonese,Fish,144
cantonese,Vegetable,144
cantonese,Crab,136
cantonese,BBQ,128
cantonese,Live,128
cantonese,Steamed,128
cantonese,Tofu,128
chinese,Beef,3144
chinese,Rice,3008
chinese,Chicken,2648
chinese,Pork,2624
chinese,Fried,2216
chinese,with,2208
chinese,Sauce,2104
chinese,Shrimp,1920
chinese,Soup,1768
chinese,and,1647
chinese,Noodle,1536
chinese,Fish,1480
chinese,Egg,976
chinese,Tofu,936
chinese,Pepper,904
chinese,Bean,808
chinese,Fillet,696
chinese,Style,680
chinese,Vegetable,680
chinese,Mein,672
bbq,Sandwich,56
bbq,Filberts,40
bbq,Chicken,32
bbq,Platter,24
bbq,The,24
bbq,Beans,16
bbq,Beer,16
bbq,Bread,16
bbq,Brisket,16
bbq,Cheese,16
bbq,Garlic,16
bbq,Green,16
bbq,Hot,16
bbq,Jumbo,16
bbq,Pork,16
bbq,Ribs,16
bbq,Salad,16
bbq,Smoked,16
bbq,Wings,16
bbq,BLT,8
noodles,Rice,872
noodles,Beef,704
noodles,Chicken,632
noodles,Freeze,600
noodles,Tea,560
noodles,Fried,544
noodles,Green,424
noodles,Over,424
noodles,Pork,424
noodles,Fresh,416
noodles,Shrimp,416
noodles,Fruit,400
noodles,Sauce,384
noodles,Milk,360
noodles,Soup,352
noodles,Black,336
noodles,Bean,272
noodles,Noodle,264
noodles,Smoothie,264
noodles,Fish,232
szechuan,Pork,488
szechuan,Spicy,488
szechuan,Beef,344
szechuan,Style,336
szechuan,Special,320
szechuan,Chicken,296
szechuan,Fried,288
szechuan,Soup,280
szechuan,Sour,280
szechuan,Fish,272
szechuan,Chili,256
szechuan,Sauce,232
szechuan,with,228
szechuan,Pickle,224
szechuan,Szechuan,176
szechuan,Fillet,160
szechuan,House,160
szechuan,Stir,152
szechuan,Dry,144
szechuan,Rice,144
dimsum,Fried,592
dimsum,with,504
dimsum,Beef,488
dimsum,Sauce,472
dimsum,Chicken,464
dimsum,Rice,312
dimsum,Pepper,304
dimsum,Pork,304
dimsum,Shrimp,288
dimsum,Stir,280
dimsum,and,258
dimsum,Stir-Fried,240
dimsum,Egg,200
dimsum,Salt,200
dimsum,Tofu,200
dimsum,Vegetable,184
dimsum,Fish,176
dimsum,Garlic,176
dimsum,Black,168
dimsum,Soup,168
caribbean,Jerk,96
caribbean,Chicken,88
caribbean,Red,40
caribbean,Salad,40
caribbean,Shrimp,32
caribbean,Snapper,32
caribbean,Wings,32
caribbean,Curry,24
caribbean,Salmon,24
caribbean,Tilapia,24
caribbean,White,24
caribbean,Beans,16
caribbean,Brown,16
caribbean,Catfish,16
caribbean,Mix,16
caribbean,Mixed,16
caribbean,Pineapple,16
caribbean,Rice,16
caribbean,Soda,16
caribbean,Steamed,16
vegetarian,Callaloo,8
vegetarian,Cesar,8
vegetarian,Chardonnay,8
vegetarian,Cilantro,8
vegetarian,Coconut,8
vegetarian,Cuban,8
vegetarian,Escovitch,8
vegetarian,Hurricane,8
vegetarian,Jerk,8
vegetarian,Pineapple,8
vegetarian,Red,8
vegetarian,Rice,8
vegetarian,Salad,8
vegetarian,Salmon,8
vegetarian,Shrimp,8
vegetarian,Snapper,8
vegetarian,The,8
korean,Fried,112
korean,Chicken,104
korean,Soup,104
korean,Korean,96
korean,Kimchi,64
korean,Pork,64
korean,Rice,56
korean,for,56
korean,House,48
korean,Pancake,40
korean,Belly,32
korean,Bulgogi,32
korean,Juice,32
korean,Porridge,32
korean,Seafood,32
korean,Stir,32
korean,made,32
korean,Ahjoomah's,24
korean,Apron,24
korean,Card,24
indpak,Chicken,232
indpak,Special,88
