name
Fountain Drink
Juice
Calypso Lemonade
Bottled Water
Shrimp Salad
Salmon Salad
Chicken Caesar Salad
Garden Salad
Side Salad
Fruit Salad
Large Shrimp
Lightly Breaded Shrimp
Popcorn Shrimp
Coconut Shrimp
Peel 'N' Eat Shrimp
Fish Chips
Catfish Strips
Ocean Perch
Cod Nuggets
Whole Catfish
Frog Legs
Oysters
Clam Strips
Scallops
Crab Cakes
Wing Zings
Chicken Strips
Jumbo Wings
1/2 Chicken
Fish Sandwich
Chicken Sandwich
Shrimp Po'Boy Sandwich
Macaroni Salad
Potato Salad
Coleslaw
Seafood Crab Cup
Fries
Onion Rings
Mushrooms
Corn Fritters
Okra
Dinner Roll
3 Large Shrimp
3 Fish Chips
1 Perch
3 Wing Zings
1 Frog Leg
Bottle of Hot Sauce
Bottle of Cocktail Sauce
Popcorn Shrimp Kid's Meal
Chicken Strips Kid's Meal
Banana Pudding
Strawberry Cheesecake
Caramel Cake
Carrot Cake
Chocolate Fudge Cake
