cuisines,latitude,longitude,item
American Restaurants,41.836678,-87.651424,Lunch Box
American Restaurants,41.836678,-87.651424,Chicpotpie Pasty
American Restaurants,41.836678,-87.651424,Oinkle Pasty
American Restaurants,41.836678,-87.651424,Steak and Stilton Pasty
American Restaurants,41.836678,-87.651424,Spinach Pasty
American Restaurants,41.836678,-87.651424,Yooper Pasty
American Restaurants,41.836678,-87.651424,Ratatouille Pasty
American Restaurants,41.836678,-87.651424,BBQ Beef Pasty
American Restaurants,41.836678,-87.651424,Ginger Chicken Pasty
American Restaurants,41.836678,-87.651424,Ham and 3 Cheeses Pasty
American Restaurants,41.836678,-87.651424,Homemade Soup
American Restaurants,41.836678,-87.651424,Chocolate Chip Cookie
American Restaurants,41.836678,-87.651424,Peanut Butter Cookie
American Restaurants,41.836678,-87.651424,Oatmeal Raisin Cookie
American Restaurants,41.836678,-87.651424,Soda
American Restaurants,41.836678,-87.651424,Water
American Restaurants,41.836678,-87.651424,Filbert39s Soda
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,Soda
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,White Garo
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,Lychee Drink
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,Taijun Glass Jelly Drink
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,Wong Low Kat
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,A01 Colorful Wide Cold Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,A02 Homemade Cabbage and Tofu Salad
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,A03 Red Chili Beef Tendon
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,A04 Sliced Beef Tendons with Hot and Chili Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,A05 Sliced Pork with Chipped Garlic
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,A06 Spicy Pork Ear
