cuisine,count
Home Cooking,1
Spanish,8
Chinese,139
Caterers,40
Asian,137
Italian,53
Mediterranean,27
European,20
Thai,18
American,130
Contemporary American,13
Mexican,27
Latin American,18
Pizza,21
Hamburgers and Hot Dogs,8
Burgers,13
Hot Dogs,5
Continental,13
Breakfast and Brunch,53
Middle Eastern and African,1
Middle Eastern,8
Vegetarian,16
Steakhouse,7
Chicken,6
Bar and Grills,8
Dessert,5
Steak Houses,3
Healthy,11
Greek,7
Vegetarian Friendly,33
Family Style,42
Take Out,37
Food Delivery Service,1
Fast Food,35
Delivery Service,3
Delivery,3
Sandwiches/Subs,1
Desserts/Ice Cream,1
Seafood,55
Traditional American,14
Southern,3
Latin,5
Southwestern,3
Steak House,3
American (Traditional),1
Coffee and Espresso,11
Coffee Shops,18
Coffee House,9
Coffee and Tea,17
Barbecue,10
Bakery,7
Natural and Organic Foods,3
Deli and Sandwich,17
Cafe,22
Bar,42
Dim Sum,16
Mongolian,3
Sushi,23
Japanese,65
Asian/Pacific,21
Noodle Shop,6
Gluten Free Options,11
Southeast Asian,12
Sandwich Shops,10
Sandwiches,11
Breakfast Brunch and Lunch,18
Sports Bars,1
Breakfast,14
Brunch and Lunch,12
Pubs,11
Pub,10
Soups,11
Burger,1
Diners,4
Night Clubs,5
Bars,9
Cocktail Lounges,1
Dance Clubs,1
Contemporary Asian,1
Lounge,1
Vegan,3
Health Food,5
French,29
Fine Dining,5
Tapas / Small Plates,4
Contemporary French / American,1
Chain,4
Sushi Bars,10
Delicatessen,2
Delicatessens,9
Malaysian,3
Vietnamese,10
Vegan Options,12
Ice Cream and Frozen Desserts,3
Cafeterias,8
Ice Cream,4
Bagels,3
Donut Shops,2
Bakeries,5
Donuts,2
Deli,5
Yogurt,2
Diner,4
Contemporary,3
Beverages,2
Fast food,1
Bistro,2
Bar Food,2
Hawaiian,5
Taverns,5
Cheesesteak,1
Hamburgers,4
Korean,6
Californian,12
New American,3
Food Trucks,1
Southern / Soul,1
Asian Fusion,2
Fusion,5
German,1
Filipino,1
Indian,11
Gastro Pub,1
Brasserie,1
Comfort Food,3
Brazilian Steakhouse,1
Caribbean,2
Cuban,1
Banquet Halls and Reception Facilities,3
Creole and Cajun,1
Irish,9
Supermarkets and Super Stores,1
Kosher,1
Brazilian,2
South American,1
Wine Bar,1
Steak,1
Fries,1
Shakes,1
Cajun/Creole,1
Turkish,1
Cambodian,1
Taiwanese,2
Meat Markets,1
Ramen,1
Juice and Smoothies,1
Bubble Tea,1
Grocery Stores,1
Coffee and Tea-Wholesale and Manufacturers,1
Provencal,1
Omelets,1
Ice Cream and Desserts,2
Singaporean,1
Crepes,1
Polynesian,1
Salad,1
