"food","cuisines","total"
"with steamed","1","36"
"dinner box","1","24"
"stir- fried","1","23"
"war mein","1","18"
"burger combo","1","14"
"sauce on","1","12"
"bar-b-q pork","1","12"
"calzone tray","1","11"
"green tap","1","10"
"mexican sausage","1","10"
"tap freeze","1","10"
"de camaron","1","10"
"grilled veggie","1","10"
"vegan grilled","1","10"
"wingstop crispy","1","10"
"special dry","1","9"
"al mojo","1","9"
"mojo de","1","9"
"burrito suizo","1","8"
"vegan chorizo","1","8"
"& spicy","1","8"
"de ajo","1","8"
"casserole with","1","8"
"fish fillets","1","8"
"vegetable kow","1","8"
"bean freeze","1","8"
"vegan ground","1","8"
"northern style","1","7"
"pack (feeds","1","7"
"suey or","1","7"
"gan guo","1","7"
"style gan","1","7"
"cooked in","1","7"
"in coconut","1","7"
"or chow","1","7"
"with cantonese","1","7"
"chicken combination","1","7"
"hot wok","1","7"
"salted &","1","7"
"sweet sake","1","7"
"pepper corn","1","7"
"stir-fried noodle","1","7"
"on fried","1","7"
"chow noodle","1","7"
"and kidney","1","7"
"liver and","1","7"
"singapore thin","1","7"
"signature dry","1","7"
"stomach and","1","6"
"extremely spicy","1","6"
"with thin","1","6"
"beef combination","1","6"
"fresh frog","1","6"
"pico de","1","6"
"de gallo","1","6"
"szechuan pepper","1","6"
"corn (aka","1","6"
"(aka -","1","6"
"- mala)","1","6"
"szechwan beef","1","6"
"beef stomach","1","6"
"w /","1","6"
"tony's special","1","6"
"green peppercorn","1","6"
"tripe with","1","6"
"spiced salt","1","6"
"vegan cheese","1","6"
"crispy tenders","1","6"
"and lemon","1","6"
"and string","1","6"
"cantonese noodles","1","6"
"papaya smoothie","1","6"
"sake sauce","1","6"
"peapods and","1","6"
"pao pork","1","5"
"papaya and","1","5"
"tomato egg","1","5"
"style lemon","1","5"
"pla dook","1","5"
"farmer's chicken","1","5"
"stir-fried lamb","1","5"
"en salsa","1","5"
"shrimp combination","1","5"
"large steamed","1","5"
"camarones al","1","5"
"with almond","1","5"
"for 20","1","5"
"brisket and","1","5"
"beef rice","1","5"
"northern city","1","5"
"avocado taco","1","5"
"beef burrito","1","5"
"chiles rellenos","1","5"
"and cauliflower","1","5"
"carne asada","1","5"
"yu hsiang","1","5"
"crab cocktail","1","5"
"cocktail claws","1","5"
"stone pot","1","5"
"and liver","1","5"
