"id","name","image_url","is_closed","url","review_count","categories","rating","coordinates__latitude","coordinates__longitude","transactions__001","transactions__002","transactions__003","price","location__address1","location__address2","location__address3","location__city","location__zip_code","location__country","location__state","location__display_address__001","location__display_address__002","location__display_address__003","phone","display_phone","distance"
"wentworth-seafood-house-chicago-3","Wentworth Seafood House","https://s3-media4.fl.yelpcdn.com/bphoto/aQRbuFd1zPY1pLfEiDtenA/o.jpg","False","https://www.yelp.com/biz/wentworth-seafood-house-chicago-3?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","7","bubbletea,seafood,cantonese,","4","41.852301277333","-87.631848673597","","","","$$","2229 S Wentworth Ave","","null","Chicago","60616","US","IL","2229 S Wentworth Ave","Chicago, IL 60616","","+13128080899","(312) 808-0899","739.992474209792"
"mccb-chicago-时尚食谱-chicago","MCCB Chicago 时尚食谱","https://s3-media3.fl.yelpcdn.com/bphoto/Jnmu_rIPptHPwwCbHr3CHg/o.jpg","False","https://www.yelp.com/biz/mccb-chicago-%E6%97%B6%E5%B0%9A%E9%A3%9F%E8%B0%B1-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","60","chinese,","4.5","41.8539","-87.63365","delivery","pickup","","$$","2138 South Archer Ave","null","","Chicago","60616","US","IL","2138 South Archer Ave","Chicago, IL 60616","","+13128810168","(312) 881-0168","933.643538543204"
"qing-xiang-yuan-dumplings-chicago-3","Qing Xiang Yuan Dumplings","https://s3-media3.fl.yelpcdn.com/bphoto/d0I1bER4iUq97Zh6V11QkQ/o.jpg","False","https://www.yelp.com/biz/qing-xiang-yuan-dumplings-chicago-3?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","488","chinese,bbq,","4","41.85505","-87.63219","restaurant_reservation","","","$$","2002 S Wentworth Ave","Ste 103","","Chicago","60616","US","IL","2002 S Wentworth Ave","Ste 103","Chicago, IL 60616","+13127991118","(312) 799-1118","1045.8171204995078"
"mins-noodle-house-chicago-15","Min's Noodle House","https://s3-media4.fl.yelpcdn.com/bphoto/J9kSN1Lhdarn3n2N_Weq4Q/o.jpg","False","https://www.yelp.com/biz/mins-noodle-house-chicago-15?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","165","noodles,comfortfood,szechuan,","4.5","41.8353899","-87.64586","","","","$$","3235 S Halsted St","null","","Chicago","60608","US","IL","3235 S Halsted St","Chicago, IL 60608","","+13124652999","(312) 465-2999","1650.001667803812"
"minghin-cuisine-chicago-3","MingHin Cuisine","https://s3-media3.fl.yelpcdn.com/bphoto/tJlRSuteEdJKN8l4Nm_sxQ/o.jpg","False","https://www.yelp.com/biz/minghin-cuisine-chicago-3?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","1709","seafood,dimsum,cantonese,","4","41.8532564325305","-87.6349026829699","delivery","pickup","","$$","2168 S Archer Ave","","","Chicago","60616","US","IL","2168 S Archer Ave","Chicago, IL 60616","","+13128081999","(312) 808-1999","889.3268212561379"
"14-parish-chicago","14 Parish","https://s3-media1.fl.yelpcdn.com/bphoto/oavKgDURUg2q5k0b0crAlQ/o.jpg","False","https://www.yelp.com/biz/14-parish-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","94","caribbean,seafood,vegetarian,","4.5","41.85008","-87.62326","delivery","pickup","","$$","2333 S Michigan Ave","","null","Chicago","60616","US","IL","2333 S Michigan Ave","Chicago, IL 60616","","+13122918379","(312) 291-8379","847.2666379579299"
"chi-cafe-chicago","Chi Cafe","https://s3-media2.fl.yelpcdn.com/bphoto/emRl7rHf8Pk1C4UZymM6YA/o.jpg","False","https://www.yelp.com/biz/chi-cafe-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","927","chinese,","4","41.85351","-87.63448","delivery","pickup","","$","2160 S Archer Ave","Ste A","","Chicago","60616","US","IL","2160 S Archer Ave","Ste A","Chicago, IL 60616","+13128429993","(312) 842-9993","906.548996399672"
"daebak-korean-bbq-chicago-3","Daebak Korean BBQ","https://s3-media2.fl.yelpcdn.com/bphoto/zDhkjudp8ifDbfqZtVZ9Ew/o.jpg","False","https://www.yelp.com/biz/daebak-korean-bbq-chicago-3?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","196","korean,bbq,","4","41.85477","-87.63257","","","","$$","2017 S Wells St","Fl 2","null","Chicago","60616","US","IL","2017 S Wells St","Fl 2","Chicago, IL 60616","+13126313913","(312) 631-3913","1021.5644946420379"
"yummy-yummy-noodles-chicago","Yummy Yummy Noodles","https://s3-media3.fl.yelpcdn.com/bphoto/7eaxaGg01Qnx1ZUk-1kn1w/o.jpg","False","https://www.yelp.com/biz/yummy-yummy-noodles-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","100","chinese,noodles,","4.5","41.849921","-87.632384","delivery","pickup","","$","2334 S Wentworth","Unit 105","","Chicago","60616","US","IL","2334 S Wentworth","Unit 105","Chicago, IL 60616","+13128429880","(312) 842-9880","479.5572868333579"
"little-sheep-mongolian-hot-pot-chicago","Little Sheep Mongolian Hot Pot","https://s3-media3.fl.yelpcdn.com/bphoto/5Wcq34R5IIWF9aUxcb-NDg/o.jpg","False","https://www.yelp.com/biz/little-sheep-mongolian-hot-pot-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","229","mongolian,hotpot,chinese,","4","41.8496414","-87.6321168","","","","$$","2342 S Wentworth Ave","null","","Chicago","60616","US","IL","2342 S Wentworth Ave","Chicago, IL 60616","","+13129293224","(312) 929-3224","450.366702293402"
