food,cuisines
french fries,24
chicken,24
chicken breast,21
chicken wings,21
mixed vegetables,21
fried rice,21
grilled chicken,20
chicken sandwich,20
chicken salad,20
bottled water,20
caesar salad,20
fried shrimp,20
noodle soup,20
chicken and,20
beef and,20
fried chicken,20
chicken with,20
pork chop,20
black bean,20
jumbo shrimp,19
shrimp and,19
grilled cheese,19
bbq pork,18
garlic sauce,18
iced tea,18
and cheese,18
fried calamari,18
stir fried,18
spicy chicken,18
with chicken,18
side of,18
fish fillet,18
onion rings,18
beef noodle,17
hot and,17
and sour,17
beef brisket,17
and egg,17
orange juice,17
sweet and,17
sweet potato,17
spicy beef,16
chicken fried,16
minced pork,16
hot sauce,16
fresh fruit,16
crab rangoon,16
with garlic,16
on a,16
crispy chicken,16
soft drink,15
rib eye,15
shrimp with,15
garlic bread,15
seafood soup,15
pork belly,15
buffalo chicken,15
beef sandwich,15
pork and,15
and pepper,15
salt and,15
italian beef,15
root beer,14
house special,14
black beans,14
and pork,14
corned beef,14
pepper and,14
pork with,14
and shrimp,14
pork intestine,14
beef with,14
with egg,14
kung pao,14
orange chicken,14
house salad,14
hot tea,14
ham and,14
garden salad,14
mongolian beef,14
tso's chicken,13
with mixed,13
pot stickers,13
mushroom and,13
sausage and,13
green tea,13
ice cream,13
cucumber salad,13
pad thai,13
curry sauce,13
hot dog,13
milk tea,13
beef stew,13
with chinese,13
greek salad,13
sour chicken,13
beef fried,13
general tso's,13
vegetable soup,13
short rib,13
