word,count
chicken,5560
beef,4450
fried,3784
pork,3686
sauce,3296
rice,3194
shrimp,3158
soup,2630
fish,1858
egg,1602
noodle,1574
pepper,1412
spicy,1366
salad,1364
roll,1302
tea,1292
tofu,1244
dinner,1128
bean,1110
black,1104
vegetable,1048
seafood,1014
style,936
sandwich,912
sour,908
green,876
garlic,858
hot,846
sweet,792
cheese,774
stir-fried,774
special,738
fillet,734
stir,708
pizza,704
salt,698
crab,676
broccoli,670
chow,654
mein,654
vegetables,646
noodles,646
bbq,640
chop,630
milk,626
steamed,622
mushroom,614
chinese,608
grilled,580
fresh,572
steak,536
combo,536
curry,534
crispy,530
chili,528
lamb,486
mixed,478
shredded,450
braised,448
burger,440
the,430
sausage,430
meat,420
of,420
combination,418
fries,418
duck,414
szechuan,408
smoothie,408
house,402
young,394
freeze,394
eggplant,390
kung,388
sliced,382
foo,382
red,380
bowl,374
pot,372
ginger,366
mango,356
stewed,356
on,354
orange,348
fruit,348
ribs,344
casserole,342
over,338
sauteed,336
wings,334
onion,332
italian,332
tuna,330
beans,324
(dinner),324
white,322
mongolian,314
squid,310
thai,302
mushrooms,300
salmon,296
congee,292
pao,288
pan,286
string,284
lemon,282
wonton,280
deep,278
oyster,276
preserved,272
salted,272
xo,270
lobster,268
tray,268
veggie,268
sesame,266
cake,266
corn,266
potato,266
rolls,266
jumbo,264
chocolate,264
a,260
hong,256
jelly,256
pea,256
large,256
melon,254
side,254
roasted,252
tenderloin,248
cucumber,246
lo,244
japanese,244
vermicelli,244
honey,242
curd,242
plate,238
de,238
scallop,236
bacon,236
juice,234
cabbage,230
bread,230
suey,230
taco,230
minced,228
pad,228
soda,226
rib,224
soy,222
turkey,222
dry,220
water,216
baby,214
dried,214
satay,212
w.,212
or,212
choy,210
pineapple,208
teriyaki,208
boiled,204
platter,204
homemade,202
spinach,200
french,200
rangoon,198
bitter,198
set,194
whole,192
coconut,192
general,192
burrito,192
avocado,190
baked,190
brown,190
dumplings,188
stew,188
tomato,186
ham,186
party,186
sea,184
belly,184
basil,184
sashimi,184
soft,182
sizzling,182
lychee,180
strawberry,180
clam,178
short,178
cashew,178
brisket,178
chives,176
coffee,174
sushi,174
piece,172
eggs,172
iced,168
for,168
thin,166
wrap,164
(gluten,162
free),162
ice,160
intestine,158
pickled,158
kong,158
tempura,158
dumpling,156
ground,156
fun,156
double,156
king,154
milkshake,154
korean,154
cold,152
snow,152
shell,152
assorted,152
po,152
lb.,150
extra,150
roast,148
caesar,148
cream,148
con,146
szechwan,142
scallops,140
flavored,140
w/,138
box,138
toast,138
drop,136
taro,136
stuffed,136
pancakes,136
ball,134
cumin,132
marinated,128
vegetarian,128
stickers,126
scallion,126
