category,unigram,count
bubbletea,tea,49
bubbletea,milk,24
bubbletea,rice,20
bubbletea,pork,19
bubbletea,noodle,15
bubbletea,braised,13
bubbletea,chicken,12
bubbletea,soup,12
bubbletea,box,10
bubbletea,beef,8
bubbletea,black,8
bubbletea,fried,8
bubbletea,green,8
bubbletea,mousse,8
bubbletea,egg,7
bubbletea,matcha,7
bubbletea,oolong,7
bubbletea,over,7
bubbletea,crispy,6
bubbletea,latte,6
bubbletea,spicy,6
bubbletea,strawberry,6
bubbletea,basil,5
bubbletea,chocolate,5
bubbletea,jelly,5
bubbletea,mango,5
bubbletea,melon,5
bubbletea,sauce,5
bubbletea,smoothie,5
bubbletea,tofu,5
bubbletea,waffle,5
bubbletea,winter,5
bubbletea,yogurt,5
bubbletea,bean,4
bubbletea,fruit,4
bubbletea,shredded,4
bubbletea,snow,4
bubbletea,taiwanese,4
bubbletea,bbq,3
bubbletea,bowl,3
bubbletea,fresh,3
bubbletea,ground,3
bubbletea,honey,3
bubbletea,lychee,3
bubbletea,omelet,3
bubbletea,passion,3
bubbletea,peach,3
bubbletea,q,3
bubbletea,shrimp,3
bubbletea,square,3
seafood,chicken,177
seafood,dinner,176
seafood,beef,168
seafood,fried,167
seafood,pork,153
seafood,sauce,151
seafood,shrimp,137
seafood,rice,125
seafood,soup,113
seafood,fish,91
seafood,stir-fried,79
seafood,egg,71
seafood,pepper,71
seafood,tofu,61
seafood,noodle,57
seafood,seafood,57
seafood,vegetable,54
seafood,crab,52
seafood,sour,48
seafood,salt,45
seafood,style,43
seafood,garlic,42
seafood,bean,41
seafood,sweet,39
seafood,stewed,38
seafood,fillet,35
seafood,w.,35
seafood,black,34
seafood,salad,32
seafood,spicy,32
seafood,roll,31
seafood,steamed,30
seafood,braised,29
seafood,duck,29
seafood,mushroom,29
seafood,noodles,29
seafood,bbq,27
seafood,casserole,27
seafood,chop,26
seafood,broccoli,25
seafood,congee,25
seafood,hot,25
seafood,lb.,25
seafood,pea,25
seafood,shredded,24
seafood,sandwich,23
seafood,stir,22
seafood,chinese,21
seafood,lobster,21
seafood,chow,20
cantonese,chicken,145
cantonese,beef,138
cantonese,fried,125
cantonese,shrimp,119
cantonese,pork,102
cantonese,sauce,101
cantonese,rice,94
cantonese,soup,74
cantonese,egg,59
cantonese,pepper,50
cantonese,fish,48
cantonese,vegetable,41
cantonese,bean,39
cantonese,casserole,38
cantonese,tofu,38
cantonese,salt,37
cantonese,chow,36
cantonese,seafood,35
cantonese,w.,34
cantonese,bbq,33
cantonese,crab,32
cantonese,duck,32
cantonese,garlic,31
cantonese,steamed,31
cantonese,mein,30
cantonese,pea,29
cantonese,stir-fried,29
cantonese,black,28
cantonese,noodle,28
cantonese,sour,28
cantonese,broccoli,26
cantonese,chop,26
cantonese,style,25
cantonese,braised,23
cantonese,chinese,22
cantonese,crispy,22
cantonese,sweet,22
cantonese,foo,21
cantonese,mushroom,21
cantonese,choy,19
cantonese,curd,19
cantonese,hot,19
cantonese,oyster,19
cantonese,sauteed,19
cantonese,young,19
cantonese,live,18
cantonese,spicy,18
cantonese,suey,18
cantonese,vegetables,18
cantonese,fillet,17
chinese,beef,910
chinese,chicken,870
chinese,pork,758
chinese,fried,754
chinese,rice,691
chinese,sauce,637
chinese,shrimp,624
chinese,soup,521
chinese,fish,405
chinese,noodle,375
